Rank,Company,Symbol,YTD Return
1,SANDISK CORP,SNDK,
2,CVS HEALTH CORP,CVS,
3,GILEAD SCIENCES INC,GILD,
4,AMGEN INC,AMGN,
5,BAXTER INTERNATIONAL INC,BAX,
6,PHILIP MORRIS INTERNATIONAL,PM,
7,VERTEX PHARMACEUTICALS INC,VRTX,
8,ABBVIE INC,ABBV,
9,ABBOTT LABORATORIES,ABT,
10,UBER TECHNOLOGIES INC,UBER,
11,SUPER MICRO COMPUTER INC,SMCI,
12,WALGREENS BOOTS ALLIANCE INC,WBA,
13,T MOBILE US INC,TMUS,
14,TEXAS PACIFIC LAND CORP,TPL,
15,AMERICAN WATER WORKS CO INC,AWK,
16,LKQ CORP,LKQ,
17,AT+T INC,T,
18,CONSOLIDATED EDISON INC,ED,
19,THE CIGNA GROUP,CI,
20,YUM  BRANDS INC,YUM,
21,SOLVENTUM CORP,SOLV,
22,MEDTRONIC PLC,MDT,
23,BROWN + BROWN INC,BRO,
24,INTL BUSINESS MACHINES CORP,IBM,
25,CENCORA INC,COR,
26,AMERICAN ELECTRIC POWER,AEP,
27,PROGRESSIVE CORP,PGR,
28,EXELON CORP,EXC,
29,VERIZON COMMUNICATIONS INC,VZ,
30,AMERICAN TOWER CORP,AMT,
31,WELLTOWER INC,WELL,
32,REPUBLIC SERVICES INC,RSG,
33,JOHNSON + JOHNSON,JNJ,
34,WEC ENERGY GROUP INC,WEC,
35,MCKESSON CORP,MCK,
36,VERISIGN INC,VRSN,
37,DEERE + CO,DE,
38,AUTOZONE INC,AZO,
39,GENERAL ELECTRIC,GE,
40,COCA COLA CO/THE,KO,
41,QUEST DIAGNOSTICS INC,DGX,
42,PARAMOUNT GLOBAL CLASS B,PARA,
43,VENTAS INC,VTR,
44,MOLINA HEALTHCARE INC,MOH,
45,3M CO,MMM,
46,HASBRO INC,HAS,
47,MONDELEZ INTERNATIONAL INC A,MDLZ,
48,NEWMONT CORP,NEM,
49,O REILLY AUTOMOTIVE INC,ORLY,
50,INTERCONTINENTAL EXCHANGE IN,ICE,
